year,team_abbr,team_name_full,stadium,attendance_total,attendance_game
2016,DET,Detroit Tigers,Comerica Park,"2,493,859","31,173"
2016,HOU,Houston Astros,Minute Maid Park,"2,306,623","28,477"
2016,KC,Kansas City Royals,Kauffman Stadium,"2,557,712","31,577"
2016,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"3,016,142","37,236"
2016,LAD,Los Angeles Dodgers,Dodger Stadium,"3,703,312","45,720"
2016,MIA,Miami Marlins,"Estadio Hiram Bithorn, Marlins Park","1,712,417","21,405"
2016,MIL,Milwaukee Brewers,Miller Park,"2,314,614","28,575"
2016,MIN,Minnesota Twins,Target Field,"1,963,912","24,246"
2016,NYM,New York Mets,Citi Field,"2,789,602","34,440"
2016,NYY,New York Yankees,Yankee Stadium III,"3,063,405","37,820"
2016,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,"1,521,506","18,784"
2016,PHI,Philadelphia Phillies,Citizens Bank Park,"1,915,144","23,644"
2016,PIT,Pittsburgh Pirates,PNC Park,"2,249,201","27,768"
2016,SD,San Diego Padres,Petco Park,"2,351,422","29,030"
2016,SF,San Francisco Giants,AT&T Park,"3,365,256","41,546"
2016,SEA,Seattle Mariners,Safeco Field,"2,267,928","27,999"
2016,STL,St. Louis Cardinals,Busch Stadium III,"3,444,490","42,525"
2016,TB,Tampa Bay Rays,Tropicana Field,"1,286,163","15,879"
2016,TEX,Texas Rangers,Globe Life Park in Arlington,"2,710,402","33,462"
2016,TOR,Toronto Blue Jays,Rogers Centre,"3,392,099","41,878"
2016,WAS,Washington Nationals,Nationals Park,"2,481,938","30,641"
2015,ARI,Arizona Diamondbacks,Chase Field,"2,080,145","25,681"
2015,ATL,Atlanta Braves,Turner Field,"2,001,392","24,709"
2015,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,281,202","29,246"
2015,BOS,Boston Red Sox,Fenway Park,"2,880,694","35,564"
2015,CHC,Chicago Cubs,Wrigley Field,"2,919,122","36,039"
2015,CWS,Chicago White Sox,U.S. Cellular Field,"1,755,810","21,677"
2015,CIN,Cincinnati Reds,Great American Ball Park,"2,419,506","29,870"
2015,CLE,Cleveland Indians,Progressive Field,"1,388,905","17,361"
2015,COL,Colorado Rockies,Coors Field,"2,506,789","30,948"
2015,DET,Detroit Tigers,Comerica Park,"2,726,048","33,655"
2015,HOU,Houston Astros,Minute Maid Park,"2,153,585","26,587"
2015,KC,Kansas City Royals,Kauffman Stadium,"2,708,549","33,439"
2015,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,012,765","37,195"
2015,LAD,Los Angeles Dodgers,Dodger Stadium,"3,764,815","46,479"
2015,MIA,Miami Marlins,Marlins Park,"1,752,235","21,633"
2015,MIL,Milwaukee Brewers,Miller Park,"2,542,558","31,390"
2015,MIN,Minnesota Twins,Target Field,"2,220,054","27,408"
2015,NYM,New York Mets,Citi Field,"2,569,753","31,725"
2015,NYY,New York Yankees,Yankee Stadium III,"3,193,795","39,430"
2015,ATH,Oakland Athletics,O.co Coliseum,"1,768,175","21,829"
2015,PHI,Philadelphia Phillies,Citizens Bank Park,"1,831,080","22,606"
2015,PIT,Pittsburgh Pirates,PNC Park,"2,498,596","30,847"
2015,SD,San Diego Padres,Petco Park,"2,459,752","30,367"
2015,SF,San Francisco Giants,AT&T Park,"3,375,882","41,678"
2015,SEA,Seattle Mariners,Safeco Field,"2,193,581","27,081"
2015,STL,St. Louis Cardinals,Busch Stadium III,"3,520,889","43,468"
2015,TB,Tampa Bay Rays,Tropicana Field,"1,287,054","15,322"
2015,TEX,Texas Rangers,Globe Life Park in Arlington,"2,491,875","30,764"
2015,TOR,Toronto Blue Jays,Rogers Centre,"2,794,891","34,505"
2015,WAS,Washington Nationals,Nationals Park,"2,619,843","32,344"
2014,ARI,Arizona Diamondbacks,"Chase Field, Sydney Cricket Grounds","2,073,730","25,602"
2014,ATL,Atlanta Braves,Turner Field,"2,354,305","29,065"
2014,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,464,473","30,426"
2014,BOS,Boston Red Sox,Fenway Park,"2,956,089","36,495"
2014,CHC,Chicago Cubs,Wrigley Field,"2,652,113","32,742"
2014,CWS,Chicago White Sox,U.S. Cellular Field,"1,650,821","20,381"
2014,CIN,Cincinnati Reds,Great American Ball Park,"2,476,664","30,576"
2014,CLE,Cleveland Indians,Progressive Field,"1,437,393","17,746"
2014,COL,Colorado Rockies,Coors Field,"2,680,329","33,090"
2014,DET,Detroit Tigers,Comerica Park,"2,917,209","36,015"
2014,HOU,Houston Astros,Minute Maid Park,"1,751,829","21,628"
2014,KC,Kansas City Royals,Kauffman Stadium,"1,956,482","24,154"
2014,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,095,935","38,221"
2014,LAD,Los Angeles Dodgers,Dodger Stadium,"3,782,337","46,696"
2014,MIA,Miami Marlins,Marlins Park,"1,732,283","21,386"
2014,MIL,Milwaukee Brewers,Miller Park,"2,797,384","34,536"
2014,MIN,Minnesota Twins,Target Field,"2,250,606","27,785"
