year,team_abbr,wins
2011,TEX,96
2010,TEX,90
2009,TEX,87
2008,TEX,79
2007,TEX,75
2006,TEX,80
2005,TEX,79
2004,TEX,89
2003,TEX,71
2002,TEX,72
2001,TEX,73
2000,TEX,71
2025,TOR,94
2024,TOR,74
2023,TOR,89
2022,TOR,92
2021,TOR,91
2020,TOR,32
2019,TOR,67
2018,TOR,73
2017,TOR,76
2016,TOR,89
2015,TOR,93
2014,TOR,83
2013,TOR,74
2012,TOR,73
2011,TOR,81
2010,TOR,85
2009,TOR,75
2008,TOR,86
2007,TOR,83
2006,TOR,87
2005,TOR,80
2004,TOR,67
2003,TOR,86
2002,TOR,78
2001,TOR,80
2000,TOR,83
2025,WAS,66
2024,WAS,71
2023,WAS,71
2022,WAS,55
2021,WAS,65
2020,WAS,26
2019,WAS,93
2018,WAS,82
2017,WAS,97
2016,WAS,95
2015,WAS,83
2014,WAS,96
2013,WAS,86
2012,WAS,98
2011,WAS,80
2010,WAS,69
2009,WAS,59
2008,WAS,59
2007,WAS,73
2006,WAS,71
2005,WAS,81
2004,WAS,67
2003,WAS,83
2002,WAS,83
2001,WAS,68
2000,WAS,67
