year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2009,CLE,Cleveland Indians,Progressive Field,1766242,21805,65,CLEVELAND,180.49,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2009,COL,Colorado Rockies,Coors Field,2665080,32902,92,COLORADO,161,Coors Field,50398,1995,0,0,NA,NA
2009,DET,Detroit Tigers,Comerica Park,2567165,31693,86,DETROIT,205.02,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2009,MIA,Florida Marlins,Land Shark Stadium,1464109,18075,87,FLORIDA/Miami,170.24,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2009,HOU,Houston Astros,Minute Maid Park,2521076,31124,74,HOUSTON,209.93,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2009,KC,Kansas City Royals,Kauffman Stadium,1797891,22196,65,KANSAS CITY,161.52,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2009,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3240386,40005,97,CALIFORNIA/ANAHEIM/LA,141.18,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2009,LAD,Los Angeles Dodgers,Dodger Stadium,3761655,46440,95,LOS ANGELES DODGERS,221.64,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2009,MIL,Milwaukee Brewers,Miller Park,3037451,37499,80,MILWAUKEE,145.92,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2009,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,2416237,29466,87,MINNESOTA,169.81,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2009,NYM,New York Mets,Citi Field,3168571,39118,70,N.Y. METS,258.97,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2009,NYY,New York Yankees,Yankee Stadium III,3719358,45918,103,N.Y. YANKEES,410.88,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2009,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1408783,17392,75,OAKLAND,187.23,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2009,PHI,Philadelphia Phillies,Citizens Bank Park,3600693,44453,93,PHILADELPHIA,219.9,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2009,PIT,Pittsburgh Pirates,PNC Park,1577853,19480,62,PITTSBURGH,135.06,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2009,SD,San Diego Padres,Petco Park,1919603,23699,75,SAN DIEGO,172.04,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2009,SF,San Francisco Giants,AT&T Park,2862110,35335,88,SAN FRANCISCO,222.63,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2009,SEA,Seattle Mariners,Safeco Field,2195533,27105,85,SEATTLE,184.62,T-Mobile Park,47574,1999,0,0,NA,NA
2009,STL,St. Louis Cardinals,Busch Stadium III,3343252,41275,91,ST. LOUIS,214.72,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2009,TB,Tampa Bay Rays,Tropicana Field,1874962,23148,84,TAMPA BAY,165.4,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2009,TEX,Texas Rangers,Rangers Ballpark in Arlington,2156016,26617,87,TEXAS,150.64,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2009,TOR,Toronto Blue Jays,Rogers Centre,1876129,23162,75,TORONTO,166.39,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2009,WAS,Washington Nationals,Nationals Park,1817226,22435,59,WASHINGTON,215.52,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2008,ARI,Arizona Diamondbacks,Chase Field,2509924,30987,82,ARIZONA,162.84,Chase Field,48633,1998,0,0,NA,NA
2008,ATL,Atlanta Braves,Turner Field,2532834,31270,72,ATLANTA,157.19,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2008,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1950075,24376,68,BALTIMORE,165.4,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2008,BOS,Boston Red Sox,Fenway Park,3048250,37633,95,BOSTON,320.71,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2008,CHC,Chicago Cubs,Wrigley Field,3300200,40743,97,CHICAGO CUBS,251.96,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2008,CWS,Chicago White Sox,U.S. Cellular Field,2500648,30496,89,CHICAGO WHITE SOX,214.61,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2008,CIN,Cincinnati Reds,Great American Ball Park,2058632,25415,74,CINCINNATI,167.14,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2008,CLE,Cleveland Indians,Progressive Field,2169760,26787,81,CLEVELAND,192.38,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2008,COL,Colorado Rockies,Coors Field,2650218,32719,74,COLORADO,160,Coors Field,50398,1995,0,0,NA,NA
2008,DET,Detroit Tigers,Comerica Park,3202645,39539,74,DETROIT,190.13,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2008,MIA,Florida Marlins,Dolphin Stadium,1335076,16482,84,FLORIDA/Miami,164.26,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2008,HOU,Houston Astros,"Miller Park, Minute Maid Park",2779487,34744,86,HOUSTON,215.43,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2008,KC,Kansas City Royals,Kauffman Stadium,1578922,19493,75,KANSAS CITY,151.16,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2008,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3336747,41194,100,CALIFORNIA/ANAHEIM/LA,140.42,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2008,LAD,Los Angeles Dodgers,Dodger Stadium,3730553,46056,84,LOS ANGELES DODGERS,229.14,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2008,MIL,Milwaukee Brewers,Miller Park,3068458,37882,90,MILWAUKEE,141.52,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2008,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,2302431,28425,88,MINNESOTA,165.71,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2008,NYM,New York Mets,Shea Stadium,4042045,49902,89,N.Y. METS,251.19,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2008,NYY,New York Yankees,Yankee Stadium II,4298655,53070,89,N.Y. YANKEES,259.84,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2008,ATH,Oakland Athletics,"McAfee Coliseum, Tokyo Dome",1665256,20559,75,OAKLAND,206.8,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2008,PHI,Philadelphia Phillies,Citizens Bank Park,3422583,42254,92,PHILADELPHIA,199.56,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2008,PIT,Pittsburgh Pirates,PNC Park,1609076,19865,67,PITTSBURGH,146.32,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2008,SD,San Diego Padres,Petco Park,2427535,29970,63,SAN DIEGO,201.72,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2008,SF,San Francisco Giants,AT&T Park,2863837,35356,72,SAN FRANCISCO,183.74,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2008,SEA,Seattle Mariners,Safeco Field,2329702,28762,61,SEATTLE,191.16,T-Mobile Park,47574,1999,0,0,NA,NA
2008,STL,St. Louis Cardinals,Busch Stadium III,3432917,42382,86,ST. LOUIS,217.28,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2008,TB,Tampa Bay Rays,"Ballpark at Disney's Wide World of Sports, Tropicana Field",1811986,22370,97,TAMPA BAY,136.91,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2008,TEX,Texas Rangers,Rangers Ballpark in Arlington,1945677,24021,79,TEXAS,148.04,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2008,TOR,Toronto Blue Jays,Rogers Centre,2399786,29627,86,TORONTO,230.46,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2008,WAS,Washington Nationals,Nationals Park,2320400,2,59,WASHINGTON,195.5,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2007,ARI,Arizona Diamondbacks,Chase Field,2325249,28707,90,ARIZONA,154.71,Chase Field,48633,1998,0,0,NA,NA
2007,ATL,Atlanta Braves,Turner Field,2745207,33891,84,ATLANTA,150.68,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2007,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2164822,26726,69,BALTIMORE,159.79,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2007,BOS,Boston Red Sox,Fenway Park,2970755,36676,96,BOSTON,313.83,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2007,CHC,Chicago Cubs,Wrigley Field,3252462,40154,85,CHICAGO CUBS,219.21,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2007,CWS,Chicago White Sox,U.S. Cellular Field,2684395,33141,72,CHICAGO WHITE SOX,205.63,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2007,CIN,Cincinnati Reds,Great American Ball Park,2058593,25415,72,CINCINNATI,158.35,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2007,CLE,Cleveland Indians,"Jacobs Field, Miller Park",2275912,28449,96,CLEVELAND,156.77,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2007,COL,Colorado Rockies,Coors Field,2376250,28979,90,COLORADO,148,Coors Field,50398,1995,0,0,NA,NA
2007,DET,Detroit Tigers,Comerica Park,3047133,37619,88,DETROIT,166.8,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2007,MIA,Florida Marlins,Dolphin Stadium,1370511,16920,71,FLORIDA/Miami,155.78,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2007,HOU,Houston Astros,Minute Maid Park,3020405,37289,73,HOUSTON,195.59,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2007,KC,Kansas City Royals,Kauffman Stadium,1616867,19961,69,KANSAS CITY,123.42,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2007,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3365632,41551,94,CALIFORNIA/ANAHEIM/LA,136.63,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2007,LAD,Los Angeles Dodgers,Dodger Stadium,3857036,47618,82,LOS ANGELES DODGERS,210.63,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2007,MIL,Milwaukee Brewers,Miller Park,2869144,35422,83,MILWAUKEE,134.77,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2007,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,2296383,28350,79,MINNESOTA,158.07,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2007,NYM,New York Mets,Shea Stadium,3853955,47580,88,N.Y. METS,219.04,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2007,NYY,New York Yankees,Yankee Stadium II,4271083,52729,94,N.Y. YANKEES,222.53,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2007,ATH,Oakland Athletics,McAfee Coliseum,1921844,23726,76,OAKLAND,185.53,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2007,PHI,Philadelphia Phillies,Citizens Bank Park,3108325,38374,89,PHILADELPHIA,196,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2007,PIT,Pittsburgh Pirates,PNC Park,1749142,21594,68,PITTSBURGH,139.77,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2007,SD,San Diego Padres,Petco Park,2790074,34445,89,SAN DIEGO,168.03,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2007,SF,San Francisco Giants,AT&T Park,3223215,39793,71,SAN FRANCISCO,212.95,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2007,SEA,Seattle Mariners,Safeco Field,2672223,32588,88,SEATTLE,186.03,T-Mobile Park,47574,1999,0,0,NA,NA
2007,STL,St. Louis Cardinals,Busch Stadium III,3552180,43854,78,ST. LOUIS,209.23,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2007,TB,Tampa Bay Devil Rays,"Ballpark at Disney's Wide World of Sports, Tropicana Field",1387603,17131,66,TAMPA BAY,136.91,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2007,TEX,Texas Rangers,Ameriquest Field,2353862,29060,75,TEXAS,141.88,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2007,TOR,Toronto Blue Jays,Rogers Centre,2360644,29144,83,TORONTO,182.51,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2007,WAS,Washington Nationals,Robert F. Kennedy Stadium,1943812,23998,73,WASHINGTON,147.94,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2006,ARI,Arizona Diamondbacks,Chase Field,2091685,25823,76,ARIZONA,147.71,Chase Field,48633,1998,0,0,NA,NA
2006,ATL,Atlanta Braves,Turner Field,2550524,31488,79,ATLANTA,145.78,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2006,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2153139,26582,70,BALTIMORE,158.62,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2006,BOS,Boston Red Sox,Fenway Park,2930588,36180,86,BOSTON,287.84,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2006,CHC,Chicago Cubs,Wrigley Field,3123215,38558,66,CHICAGO CUBS,219.21,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2006,CWS,Chicago White Sox,U.S. Cellular Field,2957414,36511,90,CHICAGO WHITE SOX,191.26,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2006,CIN,Cincinnati Reds,Great American Ball Park,2134607,26353,80,CINCINNATI,156.6,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2006,CLE,Cleveland Indians,Jacobs Field,1997995,24667,78,CLEVELAND,157.66,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2006,COL,Colorado Rockies,Coors Field,2104362,25980,76,COLORADO,140.88,Coors Field,50398,1995,0,0,NA,NA
2006,DET,Detroit Tigers,Comerica Park,2595937,32049,95,DETROIT,162.93,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2006,MIA,Florida Marlins,Dolphins Stadium,1164134,14372,78,FLORIDA/Miami,154.12,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2006,HOU,Houston Astros,Minute Maid Park,3022763,37318,82,HOUSTON,191.78,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2006,KC,Kansas City Royals,Kauffman Stadium,1372638,16946,62,KANSAS CITY,120.35,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2006,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3406790,42059,89,CALIFORNIA/ANAHEIM/LA,134.32,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2006,LAD,Los Angeles Dodgers,Dodger Stadium,3758545,46402,88,LOS ANGELES DODGERS,175.36,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2006,MIL,Milwaukee Brewers,Miller Park,2335643,28835,75,MILWAUKEE,131.94,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2006,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,2285018,28210,96,MINNESOTA,149.04,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2006,NYM,New York Mets,Shea Stadium,3379535,41723,97,N.Y. METS,207.13,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2006,NYY,New York Yankees,Yankee Stadium II,4248067,52445,97,N.Y. YANKEES,208.57,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2006,ATH,Oakland Athletics,McAfee Coliseum,1976625,24403,93,OAKLAND,170.41,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2006,PHI,Philadelphia Phillies,Citizens Bank Park,2701815,33356,85,PHILADELPHIA,193.91,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2006,PIT,Pittsburgh Pirates,PNC Park,1861549,22982,67,PITTSBURGH,138.81,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2006,SD,San Diego Padres,Petco Park,2659757,32837,88,SAN DIEGO,180.32,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2006,SF,San Francisco Giants,AT&T Park,3130313,38646,76,SAN FRANCISCO,201.62,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2006,SEA,Seattle Mariners,Safeco Field,2481165,30632,78,SEATTLE,186.03,T-Mobile Park,47574,1999,0,0,NA,NA
2006,STL,St. Louis Cardinals,Busch Stadium III,3407104,42589,83,ST. LOUIS,207.21,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2006,TB,Tampa Bay Devil Rays,Tropicana Field,1368950,16901,61,TAMPA BAY,129.87,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2006,TEX,Texas Rangers,Ameriquest Field,2388757,29491,80,TEXAS,134.24,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2006,TOR,Toronto Blue Jays,Rogers Centre,2302212,28422,87,TORONTO,182.71,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2006,WAS,Washington Nationals,Robert F. Kennedy Stadium,2153056,26581,71,WASHINGTON,169.51,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2005,ARI,Arizona Diamondbacks,Bank One Ballpark,2059424,25425,77,ARIZONA,145.97,Chase Field,48633,1998,0,0,NA,NA
2005,ATL,Atlanta Braves,Turner Field,2521167,31126,90,ATLANTA,145.55,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2005,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2624740,32404,74,BALTIMORE,158.62,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2005,BOS,Boston Red Sox,Fenway Park,2847888,35159,95,BOSTON,276.24,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2005,CHC,Chicago Cubs,Wrigley Field,3099992,38272,79,CHICAGO CUBS,210.01,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2005,CWS,Chicago White Sox,U.S. Cellular Field,2342833,28924,99,CHICAGO WHITE SOX,188.07,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2005,CIN,Cincinnati Reds,Great American Ball Park,1943067,23696,73,CINCINNATI,145.1,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2005,CLE,Cleveland Indians,Jacobs Field,2013763,24861,93,CLEVELAND,156.18,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2005,COL,Colorado Rockies,Coors Field,1914389,23634,67,COLORADO,141.68,Coors Field,50398,1995,0,0,NA,NA
2005,DET,Detroit Tigers,Comerica Park,2024431,24993,71,DETROIT,157.93,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2005,MIA,Florida Marlins,Dolphins Stadium,1852608,22872,83,FLORIDA/Miami,147.04,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2005,HOU,Houston Astros,Minute Maid Park,2804760,34627,89,HOUSTON,182.64,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2005,KC,Kansas City Royals,Kauffman Stadium,1371181,16928,56,KANSAS CITY,119.85,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2005,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3404686,42033,95,CALIFORNIA/ANAHEIM/LA,125.78,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2005,LAD,Los Angeles Dodgers,Dodger Stadium,3603646,44489,71,LOS ANGELES DODGERS,158.98,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2005,MIL,Milwaukee Brewers,Miller Park,2211023,27297,81,MILWAUKEE,130.96,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2005,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,2034243,25114,83,MINNESOTA,146.49,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2005,NYM,New York Mets,Shea Stadium,2829929,34937,83,N.Y. METS,185.13,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2005,NYY,New York Yankees,Yankee Stadium II,4090696,50502,95,N.Y. YANKEES,193.86,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2005,ATH,Oakland Athletics,McAfee Coliseum,2109118,26038,88,OAKLAND,152.64,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2005,PHI,Philadelphia Phillies,Citizens Bank Park,2665304,32905,88,PHILADELPHIA,189.31,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2005,PIT,Pittsburgh Pirates,PNC Park,1817245,22435,67,PITTSBURGH,143.31,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2005,SD,San Diego Padres,Petco Park,2869787,35429,82,SAN DIEGO,176.32,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2005,SF,San Francisco Giants,SBC Park,3181023,39272,75,SAN FRANCISCO,191.37,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2005,SEA,Seattle Mariners,Safeco Field,2725459,33648,69,SEATTLE,172.03,T-Mobile Park,47574,1999,0,0,NA,NA
2005,STL,St. Louis Cardinals,Busch Stadium II,3538988,43691,100,ST. LOUIS,177.66,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2005,TB,Tampa Bay Devil Rays,Tropicana Field,1141669,14095,67,TAMPA BAY,143.81,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2005,TEX,Texas Rangers,Ameriquest Field,2525221,31176,79,TEXAS,136.14,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2005,TOR,Toronto Blue Jays,Rogers Centre,2014995,24876,80,TORONTO,164.53,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2005,WAS,Washington Nationals,Robert F. Kennedy Stadium,2731993,33728,81,WASHINGTON,169.72,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2004,LAA,Anaheim Angels,Angel Stadium of Anaheim,3375677,41675,92,CALIFORNIA/ANAHEIM/LA,133.01,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2004,ARI,Arizona Diamondbacks,Bank One Ballpark,2519560,31106,51,ARIZONA,132.92,Chase Field,48633,1998,0,0,NA,NA
2004,ATL,Atlanta Braves,Turner Field,2327565,28735,96,ATLANTA,144.55,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2004,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2744018,33877,78,BALTIMORE,157.62,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2004,BOS,Boston Red Sox,Fenway Park,2837294,35028,98,BOSTON,263.09,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
