year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2022,NYM,New York Mets,Citi Field,2564737,31663,101,N.Y. METS,258.95,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2022,NYY,New York Yankees,Yankee Stadium III,3136207,38719,99,N.Y. YANKEES,348.84,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2022,ATH,Oakland Athletics,RingCentral Coliseum,787902,9849,60,OAKLAND,259.22,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2022,PHI,Philadelphia Phillies,Citizens Bank Park,2276736,28108,87,PHILADELPHIA,269.16,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2022,PIT,Pittsburgh Pirates,PNC Park,1257458,15524,62,PITTSBURGH,199.23,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2022,SD,San Diego Padres,Petco Park,2987470,36882,89,SAN DIEGO,237.74,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2022,SF,San Francisco Giants,Oracle Park,2482686,30650,81,SAN FRANCISCO,308.36,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2022,SEA,Seattle Mariners,T-Mobile Park,2287267,28238,90,SEATTLE,232.49,T-Mobile Park,47574,1999,0,0,NA,NA
2022,STL,St. Louis Cardinals,Busch Stadium III,3320551,40994,93,ST. LOUIS,265.18,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2022,TB,Tampa Bay Rays,Tropicana Field,1128127,13927,86,TAMPA BAY,192.02,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
